k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,fireVal,policeVal,cctvVal,cluster,DistanceToCenter,score,class
A13707002,아남,서초구,서초동,127.020739,37.4929518,37.4659518,37.5199518,126.993739,127.047739,0.2631578947368421,0.7826086956521738,0.7031102733270499,0,0.4777821668799989,1.4793558362107677,0.0
A15009502,문래현대3차,영등포구,문래동5가,126.8844422,37.5161019,37.4891019,37.5431019,126.8574422,126.9114422,0.7368421052631579,0.2608695652173913,0.6123939679547596,0,0.2516845248228039,1.2532581941535728,0.0
A15283803,구로금호어울림,구로구,구로동,126.8919875,37.5000583,37.4730583,37.5270583,126.8649875,126.9189875,0.7368421052631579,0.3913043478260869,0.7351555136663525,0,0.1739672213183748,1.1755408906491436,0.0
A13790703,잠원신화,서초구,잠원동,127.0136875,37.5157083,37.4887083,37.5427083,126.9866875,127.0406875,0.3684210526315789,0.4782608695652174,0.5690386427898209,0,0.25451936728578023,1.256093036616549,0.0
A13887901,송파현대힐스테이트,송파구,풍납동,127.1184957,37.5311152,37.5041152,37.5581152,127.0914957,127.1454957,0.42105263157894735,0.08695652173913043,0.4723138548539114,2,0.07960491407484822,0.720318229701624,1.0
A15704002,염창 일신건영휴먼빌아파트,강서구,염창동,126.8731713,37.5520432,37.5250432,37.5790432,126.8461713,126.9001713,0.42105263157894735,0.043478260869565216,0.3626295947219604,2,0.15743510229804042,0.7981484179248162,1.0
A15284101,구로2차순영웰라이빌,구로구,구로동,126.891625,37.4960263,37.469026299999996,37.5230263,126.864625,126.918625,0.7368421052631579,0.3913043478260869,0.7399858623939679,0,0.17455034656702104,1.17612401589779,0.0
A13008001,신이문금호어울림,동대문구,이문동,127.063182,37.6041205,37.5771205,37.6311205,127.036182,127.090182,0.2631578947368421,0.34782608695652173,0.706880301602262,0,0.30906803402619837,1.3106417033569673,0.0
A12289401,뉴신사신성,은평구,신사동,126.9062236,37.5935011,37.566501099999996,37.6205011,126.8792236,126.9332236,0.21052631578947367,0.0,0.0,1,0.15067072914716234,0.3975104722639127,2.0
A13986701,중계성원2차,노원구,중계동,127.0752242,37.6611671,37.6341671,37.6881671,127.04822419999999,127.1022242,0.10526315789473684,0.17391304347826086,0.20558435438265787,1,0.15278408904179308,0.3996238321585434,2.0
A13202302,방학극동아파트,도봉구,방학동,127.0268136,37.6645017,37.6375017,37.6915017,126.9998136,127.0538136,0.3684210526315789,0.21739130434782608,0.3950282752120641,2,0.09531109233370223,0.736024407960478,1.0
A14206301,번동동문아파트,강북구,번동,127.0382004,37.6239797,37.5969797,37.6509797,127.01120039999999,127.0652004,0.5789473684210527,0.30434782608695654,0.7121819038642789,0,0.10926008498077969,1.1108337543115485,0.0
A13509101,삼성청구타운,강남구,삼성동,127.0583783,37.5197827,37.4927827,37.5467827,127.0313783,127.0853783,0.5263157894736842,0.5652173913043478,0.702521206409048,0,0.15806439712531506,1.159638066456084,0.0
A15004101,당산신동아파밀리에,영등포구,당산동1가,126.9003963,37.519805,37.492805,37.546805,126.8733963,126.9273963,0.631578947368421,0.3913043478260869,0.4723138548539114,0,0.25397985951810476,1.2555535288488735,0.0
A13704101,반포삼호가든맨션5차,서초구,반포동,127.0115013,37.5039415,37.4769415,37.530941500000004,126.9845013,127.03850130000001,0.42105263157894735,0.7391304347826086,0.6819038642789821,0,0.3585597424620792,1.360133411792848,0.0
A13384301,한양현대아파트,성동구,성수동1가,127.0479977,37.5455297,37.5185297,37.572529700000004,127.0209977,127.0749977,0.5263157894736842,0.34782608695652173,0.7800424128180962,0,0.09872904586186057,1.1003027151926295,0.0
